Time_sec,Car_ID,sigAcc,sigFollowing,sigFrameId,sigGlobalX,sigGlobalY,sigLocalX,sigLocalY,sigPreceding,sigSpaceHeadway,sigTimeHeadway,sigTotalFrames,sigVel,v_Length,v_Width,v_Class,Lane_ID
13.0,12.0,0.0,10.0,12.0,164.4582098197,-17.34937376084,0.0,52.656392944069,11.0,100.07999642989,-1.0,100.0,0.0,5.0,1.8,1.0,1.0
13.0,14.0,0.0,4.0,12.0,199.81683637967,-18.35392288921,0.0,15.877766947122,8.0,280.36016124741,-1.0,100.0,0.0,5.0,1.8,1.0,4.0
13.0,16.0,0.0,-1.0,12.0,312.70480958366,148.11088225405,0.0,29.408468415099,-1.0,-1.0,-1.0,100.0,0.0,5.0,1.8,1.0,25.0
13.0,17.0,0.0,-1.0,9.0,304.40022252875,144.91879260349,0.0,287.2537052321,-1.0,-1.0,-1.0,100.0,35.0,5.0,1.8,1.0,2.0
13.0,21.0,-0.21935429118077,-1.0,5.0,158.95758592226,32.568319188999,0.0,36.760214787889,1.0,11.211699150894,1.5889595615351,100.0,7.056000305044,5.0,1.8,1.0,28.0
14.0,1.0,-0.5,21.0,8.0,155.46658263842,30.798241132312,0.0,1.3827967749909,-1.0,-1.0,-1.0,100.0,5.4108828362077,5.0,1.8,1.0,3.0
14.0,4.0,0.0,-1.0,12.0,159.30941464285,-25.455798497398,0.0,26.867872139509,14.0,140.72989480761,-1.0,100.0,0.0,5.0,1.8,1.0,27.0
14.0,5.0,0.0,-1.0,7.0,127.8385434695,14.139576834831,0.0,49.294376213755,-1.0,-1.0,-1.0,100.0,35.0,5.0,1.8,1.0,19.0
14.0,12.0,0.0,10.0,13.0,164.4582098197,-17.34937376084,0.0,52.656392944069,11.0,135.07999642989,-1.0,100.0,0.0,5.0,1.8,1.0,1.0
14.0,14.0,0.0,4.0,13.0,199.81683637967,-18.35392288921,0.0,15.877766947122,15.0,230.87463679107,-1.0,100.0,0.0,5.0,1.8,1.0,4.0
14.0,16.0,0.0,-1.0,13.0,312.70480958366,148.11088225405,0.0,29.408468415099,-1.0,-1.0,-1.0,100.0,0.0,5.0,1.8,1.0,25.0
14.0,17.0,0.0,-1.0,10.0,303.29921002875,144.91984260349,0.0,322.2537052321,-1.0,-1.0,-1.0,100.0,35.0,5.0,1.8,1.0,2.0
14.0,21.0,-0.36791520443669,-1.0,6.0,158.09671281391,32.143142960364,0.0,43.448299888496,1.0,9.9344968864947,1.4854022843688,100.0,6.6880851006073,5.0,1.8,1.0,28.0
15.0,1.0,-0.5,-1.0,9.0,151.99637514347,31.80657357591,0.0,3.7736796111986,-1.0,-1.0,-1.0,100.0,4.9108828362077,5.0,1.8,1.0,19.0
15.0,4.0,0.0,-1.0,13.0,159.30941464285,-25.455798497398,0.0,26.867872139509,14.0,140.72989480761,-1.0,100.0,0.0,5.0,1.8,1.0,27.0
15.0,5.0,0.0,-1.0,8.0,127.03821013617,14.139343501497,0.0,84.294376213755,-1.0,-1.0,-1.0,100.0,35.0,5.0,1.8,1.0,19.0
